PlayerID,Player_Name,Season,Routes_Run,Receptions,Rec_Yards,Target_Share,Touchdowns,YAC,ADoT,Catch_Pct,Total_EPA,Targets_Per_Route_Run,YPRR,Age,Games_Played,RZ_Rec,RZ_Tgt,RZ_Rec_Pct,RZ_Yds,RZ_Y_R,RZ_TD,RZ_Tgt_Pct,RZ_Rush_Att,RZ_Rush_Yds,RZ_Rush_TD,RZ_Rush_Pct,RZ_FL,RZ_G,RZ_FPTS,RZ_FPTS_G,RZ_Rost_Pct
TE0089,Payne Durham,2024,148,11,115,2.70%,2,24,8.86,78.57%,12.05,0.09,0.78,,,1,1,1.0,5,5.0,1,0.053,0,0,0,0.0,0,16,6.5,0.4,0.011
TE0071,Drew Sample,2024,231,20,109,3.50%,1,81,1.55,90.91%,4.96,0.10,0.47,,,,,,,,,,,,,,,,,,
TE0077,Andrew Ogletree,2024,114,9,109,2.85%,1,50,10.71,64.29%,8.88,0.12,0.96,,,2,3,0.667,17,8.5,1,0.214,0,0,0,0.0,0,17,7.7,0.5,0.01
TE0075,Jeremy Ruckert,2024,171,18,105,4.75%,0,84,3.43,64.29%,3.92,0.16,0.61,,,,,,,,,,,,,,,,,,
TE0042,Brock Wright,2024,174,13,100,3.07%,2,75,5.06,81.25%,8.97,0.09,0.57,,,5,5,1.0,26,5.2,2,0.208,0,0,0,0.0,0,17,14.6,0.9,0.007
TE0090,Julian Hill,2024,168,12,100,3.51%,0,58,6.32,63.16%,6.97,0.11,0.60,,,,,,,,,,,,,,,,,,
TE0053,Eric Saubert,2024,150,11,97,2.73%,1,35,6.71,78.57%,6.28,0.09,0.65,,,1,1,1.0,2,2.0,1,0.045,0,0,0,0.0,0,13,6.2,0.5,0.009
TE0101,Brevyn Spann-Ford,2024,126,9,88,2.25%,0,53,5.86,64.29%,6.84,0.11,0.70,,,,,,,,,,,,,,,,,,
TE0102,Devin Culp,2024,28,5,88,3.05%,0,31,12.17,83.33%,8.76,0.21,3.14,,,,,,,,,,,,,,,,,,
TE0040,Harrison Bryant,2024,73,9,86,2.69%,0,71,3.42,75%,5.45,0.16,1.18,,,,,,,,,,,,,,,,,,
TE0076,John Bates,2024,137,8,84,2.58%,0,49,4.85,61.54%,1.83,0.09,0.61,,,,,,,,,,,,,,,,,,
TE0023,Hayden Hurst,2024,94,8,73,5.65%,0,20,4.77,61.54%,3,0.14,0.78,,,,,,,,,,,,,,,,,,
TE0074,Luke Farrell,2024,102,12,67,3.26%,0,30,4.82,70.59%,3.30,0.17,0.66,,,,,,,,,,,,,,,,,,
TE0009,Tyler Higbee,2024,34,8,66,13.79%,2,48,2.17,66.67%,8.55,0.35,1.94,,,1,3,0.333,11,11.0,1,0.176,0,0,0,0.0,0,3,7.1,2.4,0.017
TE0069,Pharaoh Brown,2024,76,8,65,2.40%,0,30,4.25,66.67%,-2.32,0.16,0.86,,,,,,,,,,,,,,,,,,
TE0103,Hunter Long,2024,71,7,60,1.66%,0,30,3.44,77.78%,3.28,0.13,0.85,,,,,,,,,,,,,,,,,,
TE0061,Durham Smythe,2024,124,9,53,2.99%,0,16,5.53,52.94%,1.93,0.14,0.43,,,,,,,,,,,,,,,,,,
TE0104,Peyton Hendershot,2024,32,5,51,2.20%,0,32,3.80,100%,2.68,0.16,1.59,,,,,,,,,,,,,,,,,,
TE0105,Blake Whiteheart,2024,79,6,51,2.32%,1,10,9,66.67%,2.33,0.11,0.65,,,2,2,1.0,8,4.0,1,0.095,0,0,0,0.0,0,11,6.8,0.6,0.0
TE0106,Kenny Yeboah,2024,39,5,47,2.61%,1,34,4.63,62.50%,4.86,0.21,1.21,,,1,1,1.0,11,11.0,1,0.083,0,0,0,0.0,0,7,7.1,1.0,0.0
TE0107,Charlie Woerner,2024,84,7,46,2.35%,0,21,2.92,58.33%,1.69,0.14,0.55,,,,,,,,,,,,,,,,,,
TE0065,Luke Musgrave,2024,68,7,45,4.46%,0,18,6.60,70%,-0.12,0.15,0.66,,,,,,,,,,,,,,,,,,
TE0108,Ben Sims,2024,60,4,42,1.08%,0,16,8,80%,2.69,0.08,0.70,,,,,,,,,,,,,,,,,,
TE0051,MyCole Pruitt,2024,55,6,40,3.16%,1,16,3.30,60%,1.97,0.18,0.73,,,1,1,1.0,1,1.0,1,0.059,0,0,0,0.0,0,8,6.1,0.8,0.01
TE0050,Connor Heyward,2024,62,6,40,1.74%,1,7,8.38,75%,2.56,0.13,0.65,,,1,1,1.0,16,16.0,1,0.059,0,0,0,0.0,0,17,7.6,0.4,0.001
TE0109,Tucker Fisk,2024,55,7,39,2.89%,0,21,2.50,87.50%,1.11,0.15,0.71,,,,,,,,,,,,,,,,,,
TE0080,Davis Allen,2024,135,6,39,2.65%,0,21,3.85,46.15%,1.45,0.10,0.29,,,,,,,,,,,,,,,,,,
TE0110,Tip Reiman,2024,112,6,37,1.34%,0,29,1.71,85.71%,1.13,0.06,0.33,,,,,,,,,,,,,,,,,,
TE0111,Quintin Morris,2024,78,5,36,1.75%,1,22,9.25,62.50%,3.25,0.10,0.46,,,1,1,1.0,2,2.0,1,0.059,0,0,0,0.0,0,10,6.2,0.6,0.014
TE0011,Gerald Everett,2024,123,8,36,2.47%,0,41,2.69,61.54%,2.37,0.11,0.29,,,,,,,,,,,,,,,,,,
TE0112,Chris Manhertz,2024,54,3,30,0.72%,1,19,3.75,75%,3.13,0.07,0.56,,,1,1,1.0,2,2.0,1,0.25,0,0,0,0.0,0,17,6.2,0.4,0.0
TE0070,Will Mallory,2024,77,4,29,2.71%,0,4,10.38,50%,0.57,0.10,0.38,,,,,,,,,,,,,,,,,,
TE0024,Greg Dulcich,2024,109,5,28,3.99%,0,15,5.92,41.67%,-1.66,0.11,0.26,,,,,,,,,,,,,,,,,,
TE0113,Cam Grandy,2024,30,5,28,1.48%,0,16,2.40,100%,2.78,0.17,0.93,,,,,,,,,,,,,,,,,,
TE0114,Ben Sinnott,2024,110,5,28,0.99%,1,19,1.80,100%,1.45,0.05,0.25,,,1,1,1.0,3,3.0,1,0.05,0,0,0,0.0,0,17,6.3,0.4,0.006
TE0115,Shane Zylstra,2024,47,1,22,0.27%,0,13,9,100%,1.24,0.02,0.47,,,,,,,,,,,,,,,,,,
TE0116,Dallin Holker,2024,30,3,21,0.99%,0,13,9,75%,0.10,0.13,0.70,,,,,,,,,,,,,,,,,,
TE0117,Jaheim Bell,2024,34,2,20,0.68%,0,5,7.67,66.67%,0.66,0.09,0.59,,,,,,,,,,,,,,,,,,
